iter	Logloss
0	0.6710177
1	0.6513792351
2	0.6290103491
3	0.6085552464
4	0.5916202132
5	0.5732927583
6	0.5543829808
7	0.5383275201
8	0.5245652545
9	0.5117118803
10	0.4986630973
11	0.4843928635
12	0.4749258083
13	0.4677046269
14	0.4546696142
15	0.4448981951
16	0.4377964937
17	0.4278245424
18	0.421492793
19	0.4121247234
20	0.4021686245
21	0.3943853627
22	0.3845114746
23	0.3786993213
24	0.3705688851
25	0.3652116073
26	0.3577086484
27	0.3490829654
28	0.3440117092
29	0.3363067905
30	0.3307326075
31	0.324190606
32	0.3197022027
33	0.3152863541
34	0.3091664832
35	0.3048878243
36	0.300511406
37	0.2940626237
38	0.2906349795
39	0.2874276545
40	0.2834198817
41	0.2787479311
42	0.2742671184
43	0.2695931541
44	0.2651579438
45	0.2625934836
46	0.2600593456
47	0.2562811494
48	0.251739827
49	0.2480895582
50	0.2444478477
51	0.2408976248
52	0.2388941869
53	0.2358718327
54	0.2309454872
55	0.228010576
56	0.2253772623
57	0.2215514846
58	0.2179674954
59	0.2150424962
60	0.2128507168
61	0.2101761398
62	0.2069903192
63	0.2055674663
64	0.2034410134
65	0.2013297262
66	0.1994893476
67	0.1975363076
68	0.1947743466
69	0.1918930537
70	0.1900921964
71	0.1876375998
72	0.1839523234
73	0.1817023177
74	0.1787979438
75	0.176962668
76	0.1758425091
77	0.1731952929
78	0.1714167098
79	0.169189239
80	0.1666973822
81	0.1646573794
82	0.1621711819
83	0.1586076613
84	0.1570173128
85	0.1554807121
86	0.1537966391
87	0.1527911467
88	0.1507560891
89	0.1482696248
90	0.147484962
91	0.1465614393
92	0.1450135778
93	0.1429594589
94	0.1412712169
95	0.1397421975
96	0.1388167633
97	0.1373411176
98	0.13626384
99	0.1352044688
100	0.1338335321
101	0.1321499186
102	0.1314328201
103	0.1304138803
104	0.1292911467
105	0.1274829299
106	0.126133018
107	0.1242030647
108	0.1223883002
109	0.1204985841
110	0.1189516668
111	0.1175006064
112	0.1152962616
113	0.1138854505
114	0.1133106498
115	0.1126823759
116	0.1114238789
117	0.1100989666
118	0.1090697092
119	0.1079939101
120	0.1060987548
121	0.1049082915
122	0.1044270388
123	0.1037988143
124	0.1027801107
125	0.1016686164
126	0.1012223802
127	0.1004501239
128	0.09935042289
129	0.09821731481
130	0.09761411072
131	0.09705492637
132	0.09575377732
133	0.09526491685
134	0.09414336058
135	0.09308745626
136	0.09235532902
137	0.09065334374
138	0.08990995105
139	0.08931120816
140	0.08904233181
141	0.08810140874
142	0.08729606154
143	0.08625135643
144	0.08565599323
145	0.08484429626
146	0.0843434536
147	0.08358497836
148	0.08298397474
149	0.08255422471
150	0.08221901967
151	0.08160198602
152	0.08085243975
153	0.08005256744
154	0.07936645757
155	0.07883776564
156	0.07785774145
157	0.07767793748
158	0.07732103855
159	0.07672699002
160	0.07559779359
161	0.07500477736
162	0.07401798225
163	0.07341936066
164	0.07294250107
165	0.07212796644
166	0.07149669642
167	0.07120728596
168	0.07089747209
169	0.07042395213
170	0.06999678293
171	0.06967739011
172	0.0690809632
173	0.068387608
174	0.06769951177
175	0.06729449293
176	0.0665549865
177	0.06619650783
178	0.06562369329
179	0.06522866169
180	0.06464079067
181	0.06411608719
182	0.06332956537
183	0.06251493833
184	0.06202599159
185	0.06147694984
186	0.06109083976
187	0.06029392885
188	0.05976044931
189	0.05938396104
190	0.05890925334
191	0.05820951014
192	0.0578124158
193	0.05727687994
194	0.05666582636
195	0.05635901819
196	0.05572890441
197	0.05511174531
198	0.0549032732
199	0.05446235261
200	0.05410418717
201	0.05362374028
202	0.05319679172
203	0.05274434405
204	0.05221355861
205	0.05187411203
206	0.051585164
207	0.05122877775
208	0.05094395488
209	0.05071332375
210	0.0501411198
211	0.04964712834
