iter	Passed	Remaining
0	193	193491
1	205	102509
2	217	72165
3	225	56128
4	237	47253
5	249	41351
6	260	36978
7	270	33514
8	284	31300
9	298	29503
10	309	27811
11	319	26292
12	332	25237
13	344	24282
14	356	23429
15	366	22529
16	379	21962
17	391	21371
18	400	20697
19	412	20236
20	425	19839
21	436	19404
22	446	18977
23	459	18675
24	471	18401
25	481	18023
26	493	17801
27	506	17595
28	517	17333
29	531	17175
30	548	17140
31	562	17005
32	574	16840
33	587	16682
34	596	16446
35	608	16303
36	621	16164
37	630	15963
38	640	15789
39	652	15666
40	661	15470
41	673	15356
42	684	15243
43	694	15084
44	705	14978
45	718	14903
46	730	14813
47	741	14710
48	751	14587
49	763	14498
50	772	14382
51	783	14287
52	795	14212
53	804	14100
54	815	14019
55	827	13947
56	837	13850
57	848	13772
58	859	13708
59	870	13630
60	881	13562
61	892	13504
62	902	13423
63	912	13347
64	924	13302
65	933	13211
66	959	13359
67	983	13473
68	1002	13530
69	1015	13498
70	1026	13430
71	1041	13424
72	1058	13442
73	1075	13453
74	1089	13439
75	1171	14243
76	1210	14508
77	1267	14980
78	1371	15991
79	1388	15968
80	1403	15927
81	1416	15861
82	1427	15766
83	1439	15702
84	1454	15654
85	1471	15635
86	1485	15590
87	1498	15528
88	1509	15447
89	1521	15387
90	1535	15334
91	1547	15272
92	1556	15182
93	1567	15112
94	1579	15042
95	1587	14948
96	1598	14881
97	1607	14795
98	1618	14733
99	1630	14675
100	1639	14592
101	1651	14539
102	1663	14484
103	1673	14415
104	1685	14366
105	1697	14313
106	1706	14239
107	1717	14182
108	1729	14137
109	1738	14062
110	1749	14012
111	1761	13966
112	1770	13899
113	1782	13852
114	1794	13806
115	1803	13743
116	1814	13694
117	1827	13656
118	1836	13595
119	1848	13554
120	1860	13513
121	1869	13450
122	1880	13408
123	1892	13369
124	1902	13314
125	1913	13269
126	1926	13244
127	1937	13197
128	1948	13159
129	1961	13126
130	1973	13092
131	1982	13037
132	1994	13002
133	2006	12969
134	2015	12915
135	2028	12884
136	2040	12856
137	2051	12812
138	2063	12781
139	2076	12755
140	2089	12728
141	2099	12685
142	2112	12660
143	2125	12634
144	2138	12606
145	2147	12563
146	2159	12532
147	2172	12508
148	2185	12480
149	2195	12443
150	2209	12422
151	2221	12395
152	2233	12363
153	2244	12331
154	2262	12332
155	2278	12327
156	2292	12309
157	2305	12285
158	2324	12292
159	2339	12283
160	2353	12263
161	2365	12236
162	2375	12197
163	2431	12396
164	2452	12411
165	2471	12419
166	2488	12412
167	2504	12400
168	2517	12378
169	2528	12344
170	2539	12310
171	2552	12287
172	2566	12268
173	2577	12235
174	2588	12204
175	2601	12178
176	2614	12155
177	2624	12120
178	2638	12099
179	2651	12077
180	2663	12052
181	2674	12020
182	2686	11995
183	2699	11972
184	2714	11960
185	2725	11927
186	2737	11903
187	2750	11881
188	2764	11860
189	2774	11827
190	2785	11799
191	2798	11778
192	2811	11755
193	2821	11721
194	2834	11701
195	2848	11682
196	2861	11662
197	2871	11629
198	2882	11603
199	2894	11579
200	2910	11571
201	2925	11558
202	2936	11529
203	2950	11511
204	2964	11496
205	2978	11480
206	2993	11468
207	3008	11454
208	3021	11435
209	3033	11412
210	3048	11398
211	3061	11381
212	3075	11361
213	3087	11338
214	3097	11310
215	3111	11294
216	3125	11278
217	3140	11264
218	3151	11237
219	3162	11211
220	3174	11189
221	3185	11163
222	3196	11138
223	3209	11117
224	3224	11107
225	3238	11091
226	3248	11061
227	3261	11042
228	3277	11034
229	3292	11022
230	3310	11022
231	3326	11011
232	3341	10998
233	3355	10983
234	3367	10961
235	3381	10945
236	3393	10925
237	3409	10916
238	3425	10906
239	3441	10897
240	3456	10886
241	3473	10878
242	3487	10865
243	3502	10852
244	3517	10838
245	3529	10818
246	3542	10800
247	3557	10788
248	3573	10776
249	3587	10762
250	3600	10745
251	3614	10729
252	3625	10705
253	3640	10691
254	3655	10679
255	3669	10664
256	3683	10648
257	3698	10637
258	3707	10608
259	3731	10620
260	3751	10622
261	3766	10608
262	3778	10588
263	3790	10568
264	3815	10583
265	3829	10568
266	3847	10563
267	3861	10547
268	3874	10529
269	3886	10507
270	3902	10496
271	3916	10481
272	3930	10468
273	3944	10451
274	3956	10430
275	3971	10418
276	3985	10401
277	3998	10383
278	4012	10368
279	4028	10359
280	4043	10345
281	4054	10323
282	4066	10303
283	4085	10299
284	4102	10291
285	4119	10284
286	4134	10272
287	4149	10257
288	4163	10241
289	4178	10229
290	4192	10215
291	4206	10199
292	4249	10252
293	4361	10473
294	4381	10471
295	4398	10461
296	4413	10447
297	4429	10434
298	4442	10415
299	4458	10403
300	4472	10385
301	4483	10361
302	4496	10342
303	4509	10323
304	4524	10310
305	4540	10298
306	4552	10276
307	4563	10252
308	4576	10233
309	4588	10213
310	4601	10194
311	4612	10172
312	4626	10155
313	4641	10140
314	4655	10124
315	4669	10108
316	4685	10094
317	4697	10075
318	4709	10054
319	4722	10036
320	4735	10017
321	4750	10003
322	4760	9978
323	4773	9959
324	4786	9940
325	4798	9920
326	4809	9899
327	4822	9880
328	4835	9861
329	4848	9844
330	4860	9824
331	4872	9804
332	4889	9793
333	4903	9778
334	4916	9759
335	4929	9740
336	4988	9814
337	5017	9826
338	5032	9812
339	5046	9795
340	5056	9772
341	5069	9752
342	5083	9736
343	5096	9718
344	5106	9694
345	5118	9674
346	5131	9656
347	5145	9639
348	5154	9615
349	5165	9593
350	5178	9574
351	5190	9554
352	5200	9532
353	5213	9513
354	5226	9495
355	5236	9473
356	5248	9452
357	5260	9434
358	5273	9415
359	5282	9391
360	5295	9374
361	5311	9360
362	5324	9343
363	5336	9323
364	5349	9306
365	5374	9309
366	5390	9297
367	5401	9276
368	5412	9255
369	5425	9238
370	5437	9218
371	5448	9198
372	5470	9196
373	5484	9179
374	5501	9168
375	5518	9157
376	5529	9137
377	5555	9141
378	5575	9136
379	5593	9126
380	5622	9134
381	5639	9123
382	5661	9119
383	5678	9108
384	5700	9105
385	5720	9099
386	5740	9092
387	5790	9133
388	5837	9168
389	5938	9287
390	6019	9375
391	6081	9433
392	6113	9442
393	6132	9431
394	6154	9426
395	6171	9413
396	6216	9441
397	6244	9445
398	6267	9440
399	6302	9454
400	6324	9447
401	6342	9435
402	6360	9422
403	6379	9410
404	6397	9398
405	6415	9386
406	6434	9375
407	6452	9362
408	6468	9346
409	6486	9334
